company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
2537,2023-12-31,253445000.0,,,,,,,-17719000.0,5254000.0,,33075000.0,8768000.0,24307000.0,0.14,0.14,177181661.0,178152212.0,,79245000.0,
2538,2023-03-31,683074000.0,,113962000.0,,10322000.0,54756000.0,77516000.0,36446000.0,,,-3109000.0,1098000.0,-4207000.0,-0.22,-0.22,19340246.0,19340246.0,,,569112000.0
2539,2023-12-31,,,,,,,,,89366000.0,,44694000.0,7297000.0,37397000.0,2.29,2.29,16319006.0,16350963.0,,,
2540,2023-12-31,148379000000.0,,,,,,,14514000000.0,,,13989000000.0,2817000000.0,9681000000.0,23.73,23.63,407000000.0,409000000.0,,3039000000.0,128566000000.0
2541,2023-12-31,961524000.0,,,,,144057000.0,,161982000.0,333208000.0,,-107060000.0,-15363000.0,-91697000.0,-0.14,-0.14,645134657.0,645134657.0,,,
2542,2023-12-31,,,,,,379000000.0,,4900000000.0,,,3977000000.0,11000000.0,3928000000.0,,,,,11281000000.0,,
2543,2023-12-31,,,,,,145588000.0,,,411171000.0,-356884000.0,-686771000.0,-130679000.0,-556476000.0,-0.93,-0.93,598518000.0,598518000.0,871799000.0,,110073000.0
2544,2023-12-31,1821072000.0,799953000.0,1021119000.0,,,,539383000.0,481736000.0,,24105000.0,505841000.0,78467000.0,427374000.0,8.98,8.76,47610000.0,48771000.0,,275740000.0,
2545,2023-12-31,,,90379000.0,,,,,49202000.0,,,52062000.0,10367000.0,41695000.0,1.21,1.21,33609000.0,33609000.0,,43213000.0,293350000.0
2546,2023-12-31,676171000.0,346657000.0,329514000.0,,,,612529000.0,-283015000.0,,,-230575000.0,-7613000.0,-222962000.0,,,532540175.0,532540175.0,,,
2547,2023-12-31,37155050.0,,,,1311695.0,19176895.0,,-27976983.0,1527449.0,,-29042038.0,-290138.0,-28751900.0,-4.14,-4.14,6951669.0,6951669.0,,,
2548,2023-12-31,63765000.0,,37245000.0,,11776000.0,14296000.0,31360000.0,5885000.0,63000.0,,9036000.0,-16000.0,9052000.0,0.44,0.42,20748302.0,21367304.0,,,26520000.0
2549,2023-12-31,4928000.0,,,,,,,,67647000.0,,16967000.0,3724000.0,13243000.0,1.19,1.16,11115000.0,11387000.0,,,
2550,2023-12-31,3412000000.0,,690000000.0,,,,,187000000.0,32000000.0,,153000000.0,39000000.0,114000000.0,1.07,1.05,84200000.0,85500000.0,,503000000.0,2722000000.0
2551,2023-12-31,,,,,,1174000.0,,,,,,321000.0,371000.0,0.02,0.02,21666000.0,21666000.0,,,
2552,2023-06-30,,657154000.0,316728000.0,,108799000.0,,338413000.0,-21685000.0,25159000.0,,-48542000.0,-20207000.0,-28335000.0,-0.5,-0.5,56554000.0,56554000.0,973882000.0,160637000.0,
2553,2023-09-30,53113000.0,,39707000.0,,35350000.0,25256000.0,96327000.0,-56620000.0,1075000.0,,-51826000.0,31000.0,-51857000.0,-0.92,-0.92,56295289.0,56295289.0,,,13406000.0
2554,2023-12-31,,,,,17418000.0,18424000.0,,-28416000.0,2881000.0,,-29998000.0,-532000.0,-29466000.0,-0.04,-0.04,659453921.0,659453921.0,10000000.0,,
2555,2023-12-31,17731000.0,11635000.0,6096000.0,,10235000.0,8871000.0,28902000.0,-22806000.0,,,-22067000.0,-150000.0,-21917000.0,-1.24,-1.24,17656000.0,17656000.0,,,
2556,2023-12-31,,,,,30531000000.0,,,,1146000000.0,,1889000000.0,1512000000.0,365000000.0,0.14,0.14,2537000000.0,2547000000.0,60115000000.0,10504000000.0,16126000000.0
2557,2023-12-31,,,,,10416789.0,7475722.0,17892511.0,-14581378.0,,,-14042220.0,3675.0,-8236814.0,-0.94,-0.94,8809382.0,8809382.0,,,
2558,2023-12-31,6848000000.0,,,,4845000000.0,1549000000.0,,-4239000000.0,,,-3942000000.0,772000000.0,-4714000000.0,-12.33,-12.33,382000000.0,382000000.0,,,4693000000.0
